code,description,category
0000,Armed forces occupations,A
0100,Commissioned armed forces officers,A
0110,Commissioned armed forces officers,A
0200,Non-commissioned armed forces officers,A
0210,Non-commissioned armed forces officers,A
0300,"Armed forces occupations, other ranks",A
0310,"Armed forces occupations, other ranks",A
1000,Managers,A
1100,"Chief executives, senior officials and legislators",A
1110,Legislators and senior officials,A
1111,Legislators,A
1112,Senior government officials,A
1113,Traditional chiefs and heads of village,A
1114,Senior officials of special-interest organizations,A
1120,Managing directors and chief executives,A
1200,Administrative and commercial managers,A
1210,Business services and administration managers,A
1211,Finance managers,A
1212,Human resource managers,A
1213,Policy and planning managers,A
1219,Business services and administration managers not elsewhere classified,A
1220,"Sales, marketing and development managers",A
1221,Sales and marketing managers,A
1222,Advertising and public relations managers,A
1223,Research and development managers,A
1300,Production and specialised services managers,A
1310,"Production managers in agriculture, forestry and fisheries",A
1311,Agricultural and forestry production managers,A
1312,Aquaculture and fisheries production managers,A
1320,"Manufacturing, mining, construction, and distribution managers",A
1321,Manufacturing managers,A
1322,Mining managers,A
1323,Construction managers,A
1324,"Supply, distribution and related managers",A
1330,Information and communications technology service managers,A
1340,Professional services managers,A
1341,Child care services managers,A
1342,Health services managers,A
1343,Aged care services managers,A
1344,Social welfare managers,A
1345,Education managers,A
1346,Financial and insurance services branch managers,A
1349,Professional services managers not elsewhere classified,A
1400,"Hospitality, retail and other services managers",A
1410,Hotel and restaurant managers,A
1411,Hotel managers,A
1412,Restaurant managers,A
1420,Retail and wholesale trade managers,A
1430,Other services managers,A
1431,"Sports, recreation and cultural centre managers",A
1439,Services managers not elsewhere classified,A
2000,Professionals,B
2100,Science and engineering professionals,B
2110,Physical and earth science professionals,B
2111,Physicists and astronomers,B
2112,Meteorologists,B
2113,Chemists,B
2114,Geologists and geophysicists,B
2120,"Mathematicians, actuaries and statisticians",B
2130,Life science professionals,B
2131,"Biologists, botanists, zoologists and related professionals",B
2132,"Farming, forestry and fisheries advisers",B
2133,Environmental protection professionals,B
2140,Engineering professionals (excluding electrotechnology),B
2141,Industrial and production engineers,B
2142,Civil engineers,B
2143,Environmental engineers,B
2144,Mechanical engineers,B
2145,Chemical engineers,B
2146,"Mining engineers, metallurgists and related professionals",B
2149,Engineering professionals not elsewhere classified,B
2150,Electrotechnology engineers,B
2151,Electrical engineers,B
2152,Electronics engineers,B
2153,Telecommunications engineers,B
2160,"Architects, planners, surveyors and designers",B
2161,Building architects,B
2162,Landscape architects,B
2163,Product and garment designers,B
2164,Town and traffic planners,B
2165,Cartographers and surveyors,B
2166,Graphic and multimedia designers,B
2200,Health professionals,B
2210,Medical doctors,B
2211,Generalist medical practitioners,B
2212,Specialist medical practitioners,B
2220,Nursing and midwifery professionals,B
2221,Nursing professionals,B
2222,Midwifery professionals,B
2230,Traditional and complementary medicine professionals,B
2240,Paramedical practitioners,B
2250,Veterinarians,B
2260,Other health professionals,B
2261,Dentists,B
2262,Pharmacists,B
2263,Environmental and occupational health and hygiene professionals,B
2264,Physiotherapists,B
2265,Dieticians and nutritionists,B
2266,Audiologists and speech therapists,B
2267,Optometrists and ophthalmic opticians,B
2269,Health professionals not elsewhere classified,B
2300,Teaching professionals,B
2310,University and higher education teachers,B
2320,Vocational education teachers,B
2330,Secondary education teachers,B
2340,Primary school and early childhood teachers,B
2341,Primary school teachers,B
2342,Early childhood educators,B
2350,Other teaching professionals,B
2351,Education methods specialists,B
2352,Special needs teachers,B
2353,Other language teachers,B
2354,Other music teachers,B
2355,Other arts teachers,B
2356,Information technology trainers,B
2359,Teaching professionals not elsewhere classified,B
2400,Business and administration professionals,B
2410,Finance professionals,B
2411,Accountants,B
2412,Financial and investment advisers,B
2413,Financial analysts,B
2420,Administration professionals,B
2421,Management and organization analysts,B
2422,Policy administration professionals,B
2423,Personnel and careers professionals,B
2424,Training and staff development professionals,B
2430,"Sales, marketing and public relations professionals",B
2431,Advertising and marketing professionals,B
2432,Public relations professionals,B
2433,Technical and medical sales professionals (excluding ICT),B
2434,Information and communications technology sales professionals,B
2500,Information and communications technology professionals,B
2510,Software and applications developers and analysts,B
2511,Systems analysts,B
2512,Software developers,B
2513,Web and multimedia developers,B
2514,Applications programmers,B
2519,Software and applications developers and analysts not elsewhere classified,B
2520,Database and network professionals,B
2521,Database designers and administrators,B
2522,Systems administrators,B
2523,Computer network professionals,B
2529,Database and network professionals not elsewhere classified,B
2600,"Legal, social and cultural professionals",B
2610,Legal professionals,B
2611,Lawyers,B
2612,Judges,B
2619,Legal professionals not elsewhere classified,B
2620,"Librarians, archivists and curators",B
2621,Archivists and curators,B
2622,Librarians and related information professionals,B
2630,Social and religious professionals,B
2631,Economists,B
2632,"Sociologists, anthropologists and related professionals",B
2633,"Philosophers, historians and political scientists",B
2634,Psychologists,B
2635,Social work and counselling professionals,B
2636,Religious professionals,B
2640,"Authors, journalists and linguists",B
2641,Authors and related writers,B
2642,Journalists,B
2643,"Translators, interpreters and other linguists",B
2650,Creative and performing artists,B
2651,Visual artists,B
2652,"Musicians, singers and composers",B
2653,Dancers and choreographers,B
2654,"Film, stage and related directors and producers",B
2655,Actors,B
2656,"Announcers on radio, television and other media",B
2659,Creative and performing artists not elsewhere classified,B
3000,Technicians and associate professionals,C
3100,Science and engineering associate professionals,C
3110,Physical and engineering science technicians,C
3111,Chemical and physical science technicians,C
3112,Civil engineering technicians,C
3113,Electrical engineering technicians,C
3114,Electronics engineering technicians,C
3115,Mechanical engineering technicians,C
3116,Chemical engineering technicians,C
3117,Mining and metallurgical technicians,C
3118,Draughtspersons,C
3119,Physical and engineering science technicians not elsewhere classified,C
3120,"Mining, manufacturing and construction supervisors",C
3121,Mining supervisors,C
3122,Manufacturing supervisors,C
3123,Construction supervisors,C
3130,Process control technicians,C
3131,Power production plant operators,C
3132,Incinerator and water treatment plant operators,C
3133,Chemical processing plant controllers,C
3134,Petroleum and natural gas refining plant operators,C
3135,Metal production process controllers,C
3139,Process control technicians not elsewhere classified,C
3140,Life science technicians and related associate professionals,C
3141,Life science technicians (excluding medical),C
3142,Agricultural technicians,C
3143,Forestry technicians,C
3150,Ship and aircraft controllers and technicians,C
3151,Ships engineers,C
3152,Ships deck officers and pilots,C
3153,Aircraft pilots and related associate professionals,C
3154,Air traffic controllers,C
3155,Air traffic safety electronics technicians,C
3200,Health associate professionals,C
3210,Medical and pharmaceutical technicians,C
3211,Medical imaging and therapeutic equipment technicians,C
3212,Medical and pathology Labouratory technicians,C
3213,Pharmaceutical technicians and assistants,C
3214,Medical and dental prosthetic technicians,C
3220,Nursing and midwifery associate professionals,C
3221,Nursing associate professionals,C
3222,Midwifery associate professionals,C
3230,Traditional and complementary medicine associate professionals,C
3240,Veterinary technicians and assistants,C
3250,Other health associate professionals,C
3251,Dental assistants and therapists,C
3252,Medical records and health information technicians,C
3253,Community health workers,C
3254,Dispensing opticians,C
3255,Physiotherapy technicians and assistants,C
3256,Medical assistants,C
3257,Environmental and occupational health inspectors and associates,C
3258,Ambulance workers,C
3259,Health associate professionals not elsewhere classified,C
3300,Business and administration associate professionals,C
3310,Financial and mathematical associate professionals,C
3311,Securities and finance dealers and brokers,C
3312,Credit and loans officers,C
3313,Accounting associate professionals,C
3314,"Statistical, mathematical and related associate professionals",C
3315,Valuers and loss assessors,C
3320,Sales and purchasing agents and brokers,C
3321,Insurance representatives,C
3322,Commercial sales representatives,C
3323,Buyers,C
3324,Trade brokers,C
3330,Business services agents,C
3331,Clearing and forwarding agents,C
3332,Conference and event planners,C
3333,Employment agents and contractors,C
3334,Real estate agents and property managers,C
3339,Business services agents not elsewhere classified,C
3340,Administrative and specialised secretaries,C
3341,Office supervisors,C
3342,Legal secretaries,C
3343,Administrative and executive secretaries,C
3344,Medical secretaries,C
3350,Regulatory government associate professionals,C
3351,Customs and border inspectors,C
3352,Government tax and excise officials,C
3353,Government social benefits officials,C
3354,Government licensing officials,C
3355,Police inspectors and detectives,C
3359,Regulatory government associate professionals not elsewhere classified,C
3400,"Legal, social, cultural and related associate professionals",C
3410,"Legal, social and religious associate professionals",C
3411,Police inspectors and detectives,C
3412,Social work associate professionals,C
3413,Religious associate professionals,C
3420,Sports and fitness workers,C
3421,Athletes and sports players,C
3422,"Sports coaches, instructors and officials",C
3423,Fitness and recreation instructors and program leaders,C
3430,"Artistic, cultural and culinary associate professionals",C
3431,Photographers,C
3432,Interior designers and decorators,C
3433,"Gallery, museum and library technicians",C
3434,Chefs,C
3435,Other artistic and cultural associate professionals,C
3500,Information and communications technicians,C
3510,Information and communications technology operations and user support technicians,C
3511,Information and communications technology operations technicians,C
3512,Information and communications technology user support technicians,C
3513,Computer network and systems technicians,C
3514,Web technicians,C
3520,Telecommunications and broadcasting technicians,C
3521,Broadcasting and audio-visual technicians,C
3522,Telecommunications engineering technicians,C
4000,Clerical support workers,D
4100,General and keyboard clerks,D
4110,General office clerks,D
4120,Secretaries (general),D
4130,Keyboard operators,D
4131,Typists and word processing operators,D
4132,Data entry clerks,D
4200,Customer services clerks,D
4210,"Tellers, money collectors and related clerks",D
4211,Bank tellers and related clerks,D
4212,"Bookmakers, croupiers and related gaming workers",D
4213,Pawnbrokers and money-lenders,D
4214,Debt-collectors and related workers,D
4220,Client information workers,D
4221,Travel consultants and clerks,D
4222,Contact centre information clerks,D
4223,Telephone switchboard operators,D
4224,Hotel receptionists,D
4225,Enquiry clerks,D
4226,Receptionists (general),D
4227,Survey and market research interviewers,D
4229,Client information workers not elsewhere classified,D
4300,Numerical and material recording clerks,D
4310,Numerical clerks,D
4311,Accounting and bookkeeping clerks,D
4312,"Statistical, finance and insurance clerks",D
4313,Payroll clerks,D
4320,Material-recording and transport clerks,D
4321,Stock clerks,D
4322,Production clerks,D
4323,Transport clerks,D
4400,Other clerical support workers,D
4410,Other clerical support workers,D
4411,Library clerks,D
4412,Mail carriers and sorting clerks,D
4413,"Coding, proof-reading and related clerks",D
4414,Scribes and related workers,D
4415,Filing and copying clerks,D
4416,Personnel clerks,D
4419,Clerical support workers not elsewhere classified,D
5000,Service and sales workers,E
5100,Personal service workers,E
5110,"Travel attendants, conductors and guides",E
5111,Travel attendants and travel stewards,E
5112,Transport conductors,E
5113,Travel guides,E
5120,Cooks,E
5130,Waiters and bartenders,E
5131,Waiters,E
5132,Bartenders,E
5140,"Hairdressers, beauticians and related workers",E
5141,Hairdressers,E
5142,Beauticians and related workers,E
5150,Building and housekeeping supervisors,E
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",E
5152,Domestic housekeepers,E
5153,Building caretakers,E
5160,Other personal services workers,E
5161,"Astrologers, fortune-tellers and related workers",E
5162,Companions and valets,E
5163,Undertakers and embalmers,E
5164,Pet groomers and animal care workers,E
5165,Driving instructors,E
5169,Personal services workers not elsewhere classified,E
